GHID,PH,PnN,LA,GL,GW,YPP,YLD
A1323,112.1,12.8,21.3,9.9,25.3,27.9,5183.1
A1322,109,12.1,22.4,9.9,25.8,28.1,5345.4
A1282,135.2,13.4,29.4,9.5,27.8,32.9,3474.4
A1288,123,12.5,24.8,10.2,25.5,28.4,4882.8
A1285,120.7,12.8,21.8,10.2,24.8,28.5,4926.4
A1330,121,12,23.5,9.9,24.4,28.5,4798.8
A1326,121.4,12.6,23.4,9.5,24.9,29.2,5246.4
A1266,102.6,13.2,27.6,9.8,23.5,28.5,4652.4
A1324,130.6,12.1,24.4,10.3,25.8,29,4362.4
A1281,132.4,12.7,27,10,24.7,32.2,5509.8
A1292,107.9,11.3,25.1,9.8,27.6,27.2,4888.4
A1280,121.2,12.3,26.5,9.6,27.1,30.1,4813.1
A1289,127.1,12.8,25.2,9.8,25.2,29.9,4072.1
A1293,119.7,13.5,23.2,9.7,24.4,29.2,4976.8
M1428,118.3,13.8,20.1,9.3,24.8,31.4,5031.1
A1291,116.5,13.2,25.8,10.1,24.6,28.7,4580.8
A1290,123.5,13.4,24,10,24.5,32.6,4409.8
A1284,120.6,13,27.2,11.2,27.3,32.3,4963.1
A1329,127.1,13.3,26.7,10.3,26.5,31.1,5291.8
A1271,112.2,14,23.4,9.8,24,32.2,5894.1
A1278,116.5,12.6,21.5,9.4,24.7,29.3,5259.4
A1325,121.8,12.5,19.9,9.8,26.5,27.1,4234.8
A1283,123.1,12.6,19.2,9.8,26.7,29.4,5186.4
M1379,119.2,11.9,26.2,8.8,23,29.4,3530.1
M1410,126.2,12.9,23,10.4,23.2,28.7,4294.4
B1037,134.6,12.8,22,9.7,27.1,29.9,4594.1
B1035,125,11.9,26.2,9.8,28.2,32.2,5111.4
B1034,125,13,23.3,9.9,26.4,28.9,5034.1
B1227,124.1,13.5,23.1,10,27.1,30.8,4983.4
B1085,118.7,12.4,27.5,9.5,19.5,27,4305.4
B1032,122.5,11.8,23.2,10,26.2,27.8,4171.8
B1028,143.5,13.2,35.8,9.2,24.4,33.1,2941.1
B1165,123.9,12.1,31,11.1,23.5,28,4284.1
B1122,120.5,13.3,20.8,9.6,23.9,29.9,4898.4
B1163,130.7,11.5,28.9,10.7,28.3,29,4546.4
B1036,127.5,12.1,25.3,9.8,26.9,32,4794.4
B1080,122.8,12.3,27,9.9,24.8,28.8,4524.4
M1370,124.8,13.2,24,10.1,26.7,33.1,3569.8
B1166,116,11.9,22.2,9.9,25.3,27.6,5157.1
B1082,126,13.1,22.7,9.9,25.1,30,4741.4
B1235,122,12.5,29.6,10.5,25.5,30.8,5525.1
B1231,121.2,12.4,22.3,9.9,25.1,28.1,4623.8
B1230,114.3,12.2,21.2,11,23.7,27.3,5293.4
B1229,117.7,12.6,24.5,11.5,24.9,31.4,4182.1
B1228,113.7,11.8,19.1,9.8,24.8,28.5,5130.8
B1225,119.3,11.3,21.6,10.9,27.3,26.4,5170.8
B1164,122.3,12.5,25.1,10.2,25.1,25.2,3353.4
B1083,109.6,13.2,23.8,9.9,23.6,27.8,5114.1
B1018,110,12.9,22.2,10.5,23.3,28.2,4614.4
B1017,104.9,14,21.5,10.1,27.5,29.3,4503.8
B1065,94,13.8,20.9,10.9,22.8,28.8,3932.1
B1016,127.8,13.5,23.8,10.2,25.2,28.9,4721.4
B1039,114,13,25.2,9.6,23.4,29.5,4595.8
B1038,118.8,13.9,24,10.7,27.9,30.7,4795.1
M1371,114.9,14.2,23.8,10.5,24.1,29.5,4268.1
B1033,126.4,12.1,24.7,10.1,26.3,30.6,4645.1
B1234,133.4,13.3,22.7,9.9,23.4,29.3,5327.8
B1233,114.6,12,25,9.8,24.1,29.7,3958.4
B1232,115.5,12.9,22.1,9.9,25.1,30,5693.8
B1086,123.5,12.1,23.2,9.9,24.3,28.7,4919.4
M1383,107.4,12.1,22.1,8.9,21.9,26.2,4143.8
B1014,119.7,13.2,25.6,9.6,25.1,30.6,4998.1
B1064,99.4,12.6,22.4,10.4,24.5,27.5,3858.1
B1066,114.6,11.9,23.2,9.4,22.9,26.7,4800.4
B1067,115,12.7,23.9,9.3,23.5,29.9,4595.1
B1068,114.2,12.3,21.9,9.5,23.5,26.9,4545.4
B1069,118.5,12.8,24.4,9.7,23,29.3,4128.1
B1070,113,11.6,21.8,9.7,21.8,26.9,5782.8
B1071,109,14.7,19.9,10.2,21.8,28.7,5788.8
B1072,98.7,13.6,21.8,9.9,23.4,28.3,5462.1
